"","word","sentiment","value"
"254","panic","negative",-3
"255","panicked","negative",-3
"256","paradise","positive",3
"257","perfect","positive",3
"258","perfectly","positive",3
"259","pleasant","positive",3
"260","pleased","positive",3
"261","pleasure","positive",3
"262","popular","positive",3
"263","praise","positive",3
"264","praising","positive",3
"265","prick","negative",-5
"266","prosperous","positive",3
"267","racism","negative",-3
"268","racist","negative",-3
"269","racists","negative",-3
"270","rant","negative",-3
"271","rants","negative",-3
"272","rape","negative",-4
"273","rapturous","positive",4
"274","rejoice","positive",4
"275","rejoicing","positive",4
"276","ridiculous","negative",-3
"277","scandal","negative",-3
"278","scandalous","negative",-3
"279","scandals","negative",-3
"280","selfish","negative",-3
"281","selfishness","negative",-3
"282","sexy","positive",3
"283","shit","negative",-4
"284","shrew","negative",-4
"285","sinful","negative",-3
"286","slut","negative",-5
"287","soothe","positive",3
"288","sparkle","positive",3
"289","sparkling","positive",3
"290","splendid","positive",3
"291","stunning","positive",4
"292","successful","positive",3
"293","suck","negative",-3
"294","sucks","negative",-3
"295","super","positive",3
"296","superb","positive",5
"297","swindle","negative",-3
"298","terrible","negative",-3
"299","terribly","negative",-3
"300","terrific","positive",4
"301","terror","negative",-3
"302","terrorize","negative",-3
"303","thrilled","positive",5
"304","torture","negative",-4
"305","tortured","negative",-4
"306","tortures","negative",-4
"307","torturing","negative",-4
"308","trauma","negative",-3
"309","traumatic","negative",-3
"310","treason","negative",-3
"311","treasonous","negative",-3
"312","triumph","positive",4
"313","triumphant","positive",4
"314","ugly","negative",-3
"315","vibrant","positive",3
"316","victimize","negative",-3
"317","vigilant","positive",3
"318","vile","negative",-3
"319","violent","negative",-3
"320","visionary","positive",3
"321","vivacious","positive",3
"322","warning","negative",-3
"323","whore","negative",-4
"324","win","positive",4
"325","winner","positive",4
"326","winning","positive",4
"327","wins","positive",4
"328","woeful","negative",-3
"329","won","positive",3
"330","wonderful","positive",4
"331","woo","positive",3
"332","worried","negative",-3
"333","worry","negative",-3
"334","worrying","negative",-3
"335","worse","negative",-3
"336","worsen","negative",-3
"337","worsening","negative",-3
"338","worst","negative",-3
"339","wow","positive",4
